"sample_id","series","title","characteristics","day_estimate","condition"
"GSM4215865","GSE141910","C00158","etiology: Non-Failing Donor,Sex: Female,race: African American,age: 53",999,"Adult"
"GSM4215866","GSE141910","C00168","etiology: Non-Failing Donor,Sex: Female,race: African American,age: 62",999,"Adult"
"GSM4215867","GSE141910","C00186","etiology: Non-Failing Donor,Sex: Female,race: Caucasian,age: 16",999,"Adult"
"GSM4215868","GSE141910","C00188","etiology: Non-Failing Donor,Sex: Male,race: Caucasian,age: 51",999,"Adult"
"GSM4215869","GSE141910","C00190","etiology: Non-Failing Donor,Sex: Male,race: African American,age: 25",999,"Adult"
"GSM4215870","GSE141910","C00192","etiology: Non-Failing Donor,Sex: Male,race: Caucasian,age: 54",999,"Adult"
"GSM4215871","GSE141910","C00193","etiology: Non-Failing Donor,Sex: Female,race: Caucasian,age: 62",999,"Adult"
"GSM4215872","GSE141910","C00195","etiology: Non-Failing Donor,Sex: Male,race: Caucasian,age: 75",999,"Adult"
"GSM4215873","GSE141910","C00196","etiology: Non-Failing Donor,Sex: Female,race: Caucasian,age: 62",999,"Adult"
"GSM4215874","GSE141910","C00197","etiology: Non-Failing Donor,Sex: Male,race: Caucasian,age: 58",999,"Adult"
"GSM4215875","GSE141910","C00198","etiology: Non-Failing Donor,Sex: Male,race: Caucasian,age: 33",999,"Adult"
"GSM4215876","GSE141910","C00199","etiology: Non-Failing Donor,Sex: Female,race: Caucasian,age: 67",999,"Adult"
"GSM4215877","GSE141910","C00202","etiology: Non-Failing Donor,Sex: Female,race: Caucasian,age: 58",999,"Adult"
"GSM4215986","GSE141910","P01032","etiology: Non-Failing Donor,Sex: Male,race: African American,age: 49",999,"Adult"
"GSM4215989","GSE141910","P01052","etiology: Non-Failing Donor,Sex: Male,race: African American,age: 44",999,"Adult"
"GSM4215991","GSE141910","P01067","etiology: Non-Failing Donor,Sex: Male,race: Caucasian,age: 66",999,"Adult"
